ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
RTN4RL1	reticulon 4 receptor like 1(RTN4RL1)	Homo sapiens	GO:0010977~negative regulation of neuron projection development,GO:0022038~corpus callosum development,GO:0031103~axon regeneration,GO:0048681~negative regulation of axon regeneration,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0031012~extracellular matrix,GO:0042995~cell projection,GO:0043204~perikaryon,GO:0045121~membrane raft,GO:0046658~anchored component of plasma membrane,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0008201~heparin binding,GO:0035374~chondroitin sulfate binding,GO:0038023~signaling receptor activity,	IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00082:LRRCT,SM00369:LRR_TYP,		KW-0472~Membrane,KW-0966~Cell projection,KW-1003~Cell membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,KW-0732~Signal,		KW-0675~Receptor,	KW-0325~Glycoprotein,KW-0336~GPI-anchor,KW-0449~Lipoprotein,	COMPBIAS:Basic residues,DOMAIN:LRRCT,DOMAIN:LRRNT,LIPID:GPI-anchor amidated serine,PROPEP:Removed in mature form,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,
RTN4R	reticulon 4 receptor(RTN4R)	Homo sapiens	GO:0007166~cell surface receptor signaling pathway,GO:0007409~axonogenesis,GO:0010977~negative regulation of neuron projection development,GO:0022038~corpus callosum development,GO:0023041~neuronal signal transduction,GO:0030517~negative regulation of axon extension,GO:0035025~positive regulation of Rho protein signal transduction,GO:0043547~positive regulation of GTPase activity,GO:0048681~negative regulation of axon regeneration,	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0031362~anchored component of external side of plasma membrane,GO:0043005~neuron projection,GO:0043025~neuronal cell body,GO:0043198~dendritic shaft,GO:0043204~perikaryon,GO:0044295~axonal growth cone,GO:0045121~membrane raft,GO:0070062~extracellular exosome,GO:0098793~presynapse,GO:0098978~glutamatergic synapse,	GO:0005515~protein binding,GO:0008201~heparin binding,GO:0035374~chondroitin sulfate binding,GO:0038023~signaling receptor activity,GO:0038131~neuregulin receptor activity,GO:0044877~macromolecular complex binding,GO:1905573~ganglioside GM1 binding,GO:1905576~ganglioside GT1b binding,	IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,		181500~Schizophrenia, susceptibility to,		SM00082:LRRCT,SM00369:LRR_TYP,		KW-0472~Membrane,KW-0966~Cell projection,KW-1003~Cell membrane,	KW-0225~Disease variant,KW-1211~Schizophrenia,	KW-0433~Leucine-rich repeat,KW-0677~Repeat,KW-0732~Signal,	KW-0446~Lipid-binding,	KW-0675~Receptor,	KW-0325~Glycoprotein,KW-0336~GPI-anchor,KW-0449~Lipoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:LRRCT,DOMAIN:LRRNT,LIPID:GPI-anchor amidated serine,MUTAGEN:K->A: No effect on interaction with MAG.,MUTAGEN:K->D: Decreases interaction with MAG; when associated with D-279.,MUTAGEN:R->A: Mildly decreases interaction with MAG.,MUTAGEN:R->D: Decreases interaction with MAG; when associated with D-277.,MUTAGEN:R->E: Impaired ganglioside binding.,PROPEP:Removed in mature form,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
RGR	retinal G protein coupled receptor(RGR)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007601~visual perception,GO:0007602~phototransduction,GO:0009584~detection of visible light,GO:0018298~protein-chromophore linkage,GO:0071482~cellular response to light stimulus,	GO:0001750~photoreceptor outer segment,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,GO:0008020~G-protein coupled photoreceptor activity,GO:0009881~photoreceptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR001793:Retinal pigment epithelium GPCR,IPR017452:GPCR, rhodopsin-like, 7TM,IPR027430:Visual pigments (opsins) retinal binding site,		613769~Retinitis pigmentosa 44,			KW-0716~Sensory transduction,KW-0844~Vision,	KW-0472~Membrane,	KW-0225~Disease variant,KW-0682~Retinitis pigmentosa,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0157~Chromophore,	KW-0297~G-protein coupled receptor,KW-0600~Photoreceptor protein,KW-0675~Receptor,KW-0681~Retinal protein,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G_PROTEIN_RECEP_F1_2,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
RARRES2	retinoic acid receptor responder 2(RARRES2)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0001934~positive regulation of protein phosphorylation,GO:0003084~positive regulation of systemic arterial blood pressure,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0008286~insulin receptor signaling pathway,GO:0010759~positive regulation of macrophage chemotaxis,GO:0014823~response to activity,GO:0019732~antifungal humoral response,GO:0030154~cell differentiation,GO:0032869~cellular response to insulin stimulus,GO:0045087~innate immune response,GO:0045600~positive regulation of fat cell differentiation,GO:0048566~embryonic digestive tract development,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0050921~positive regulation of chemotaxis,GO:0050994~regulation of lipid catabolic process,GO:0061760~antifungal innate immune response,GO:0061771~response to caloric restriction,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0031089~platelet dense granule lumen,	GO:0005102~receptor binding,GO:0005515~protein binding,						KW-0145~Chemotaxis,KW-0221~Differentiation,KW-0395~Inflammatory response,	KW-0964~Secreted,		KW-0732~Signal,		KW-0675~Receptor,	KW-1015~Disulfide bond,	REGION:Disordered,
RNASE2	ribonuclease A family member 2(RNASE2)	Homo sapiens	GO:0002227~innate immune response in mucosa,GO:0006401~RNA catabolic process,GO:0006935~chemotaxis,GO:0051607~defense response to virus,GO:0090501~RNA phosphodiester bond hydrolysis,GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0035578~azurophil granule lumen,GO:0070062~extracellular exosome,	GO:0003676~nucleic acid binding,GO:0004519~endonuclease activity,GO:0004522~ribonuclease A activity,GO:0004540~ribonuclease activity,GO:0005515~protein binding,GO:0016829~lyase activity,	IPR001427:Ribonuclease A,IPR023411:Ribonuclease A, active site,IPR023412:Ribonuclease A-domain,				SM00092:RNAse_Pc,	KW-0145~Chemotaxis,	KW-0458~Lysosome,		KW-0732~Signal,		KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0456~Lyase,KW-0528~Neurotoxin,KW-0540~Nuclease,KW-0800~Toxin,	KW-0325~Glycoprotein,KW-0944~Nitration,KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,ACT_SITE:Proton donor,CARBOHYD:C-linked (Man) tryptophan,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:RNAse_Pc,
RNH1	ribonuclease/angiogenin inhibitor 1(RNH1)	Homo sapiens	GO:0006402~mRNA catabolic process,GO:0043086~negative regulation of catalytic activity,GO:0045765~regulation of angiogenesis,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0032311~angiogenin-PRI complex,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0008428~ribonuclease inhibitor activity,	IPR001611:Leucine-rich repeat,IPR006553:Leucine-rich repeat, cysteine-containing subtype,				SM00367:LRR_CC,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,			KW-0007~Acetylation,KW-0597~Phosphoprotein,	MUTAGEN:Missing: A significant decrease in binding affinity with RNASE1, slight decrease for the ANG ligand, no real change in binding affinity for RNASE2.,MUTAGEN:R->A: 25-fold reduction in binding affinity for RNASE2.,MUTAGEN:W->A: 40-fold reduction in binding affinity for RNASE2.,MUTAGEN:W->A: Binding affinity decreased 5000-fold over the wild type for RNASE2; when associated with A-264 and A-319.,MUTAGEN:W->A: Substantially decreased binding affinity for RNASE2. Binding affinity decreased 5000-fold over the wild type for RNASE2; when associated with A-262 and A-264.,MUTAGEN:W->A: Substantially decreased binding affinity for RNASE2. Binding affinity decreased 5000-fold over the wild type for RNASE2; when associated with A-262 and A-319.,MUTAGEN:YD->AA: Substantially decreases binding affinity for RNASE1, ANG and RNASE2.,REGION:2 X 5 AA tandem repeats of S-L-D-I-Q,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
RPS18	ribosomal protein S18(RPS18)	Homo sapiens	GO:0002181~cytoplasmic translation,GO:0006412~translation,	GO:0005581~collagen trimer,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0005925~focal adhesion,GO:0014069~postsynaptic density,GO:0015935~small ribosomal subunit,GO:0016020~membrane,GO:0022626~cytosolic ribosome,GO:0022627~cytosolic small ribosomal subunit,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005515~protein binding,GO:0019843~rRNA binding,	IPR001892:Ribosomal protein S13,IPR010979:Ribosomal protein S13-like, H2TH,IPR018269:Ribosomal protein S13, conserved site,IPR027437:30s ribosomal protein S13, C-terminal,	hsa03010:Ribosome,hsa05171:Coronavirus disease - COVID-19,		PIRSF002134:ribosomal protein, S13p/S13a/S18e/organellar S13 types,			KW-0963~Cytoplasm,		KW-0176~Collagen,		KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0007~Acetylation,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate,
RPS9	ribosomal protein S9(RPS9)	Homo sapiens	GO:0002181~cytoplasmic translation,GO:0006412~translation,GO:0008284~positive regulation of cell proliferation,GO:0042274~ribosomal small subunit biogenesis,GO:0045903~positive regulation of translational fidelity,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0005925~focal adhesion,GO:0015935~small ribosomal subunit,GO:0016020~membrane,GO:0022626~cytosolic ribosome,GO:0022627~cytosolic small ribosomal subunit,GO:0045202~synapse,GO:0070062~extracellular exosome,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0005515~protein binding,GO:0019843~rRNA binding,GO:0045182~translation regulator activity,GO:1990932~5.8S rRNA binding,	IPR001912:Ribosomal protein S4/S9, N-terminal,IPR002942:RNA-binding S4 domain,IPR005710:Ribosomal protein S4/S9, eukaryotic/archaeal,IPR018079:Ribosomal protein S4, conserved site,IPR022801:Ribosomal protein S4/S9,	hsa03010:Ribosome,hsa05171:Coronavirus disease - COVID-19,			SM00363:S4,SM01390:SM01390,		KW-0963~Cytoplasm,				KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:Ribosomal_S4,DOMAIN:S4,DOMAIN:S4 RNA-binding,REGION:Disordered,
RNF5	ring finger protein 5(RNF5)	Homo sapiens	GO:0006511~ubiquitin-dependent protein catabolic process,GO:0009617~response to bacterium,GO:0010507~negative regulation of autophagy,GO:0016567~protein ubiquitination,GO:0030163~protein catabolic process,GO:0030433~ubiquitin-dependent ERAD pathway,GO:0031648~protein destabilization,GO:0036503~ERAD pathway,GO:0044257~cellular protein catabolic process,GO:0055085~transmembrane transport,GO:0070534~protein K63-linked ubiquitination,GO:0070936~protein K48-linked ubiquitination,GO:0071712~ER-associated misfolded protein catabolic process,GO:1904380~endoplasmic reticulum mannose trimming,GO:2000785~regulation of autophagosome assembly,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031966~mitochondrial membrane,GO:0044322~endoplasmic reticulum quality control compartment,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0042802~identical protein binding,GO:0044390~ubiquitin-like protein conjugating enzyme binding,GO:0044877~macromolecular complex binding,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR001841:Zinc finger, RING-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR017907:Zinc finger, RING-type, conserved site,	hsa04141:Protein processing in endoplasmic reticulum,			SM00184:RING,	KW-0833~Ubl conjugation pathway,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0496~Mitochondrion,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-0863~Zinc-finger,KW-1133~Transmembrane helix,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0808~Transferase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:RING-type,MUTAGEN:C->S: Loss of E3 ubiquitin-protein ligase activity.,REGION:Disordered,TRANSMEM:Helical,ZN_FING:RING-type,
RYR2	ryanodine receptor 2(RYR2)	Homo sapiens	GO:0001666~response to hypoxia,GO:0002027~regulation of heart rate,GO:0003143~embryonic heart tube morphogenesis,GO:0003220~left ventricular cardiac muscle tissue morphogenesis,GO:0003300~cardiac muscle hypertrophy,GO:0005513~detection of calcium ion,GO:0006816~calcium ion transport,GO:0006874~cellular calcium ion homeostasis,GO:0010460~positive regulation of heart rate,GO:0010881~regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,GO:0010882~regulation of cardiac muscle contraction by calcium ion signaling,GO:0014808~release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0014850~response to muscle activity,GO:0019722~calcium-mediated signaling,GO:0031000~response to caffeine,GO:0035584~calcium-mediated signaling using intracellular calcium source,GO:0035994~response to muscle stretch,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051284~positive regulation of sequestering of calcium ion,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0051649~establishment of localization in cell,GO:0051775~response to redox state,GO:0055117~regulation of cardiac muscle contraction,GO:0060048~cardiac muscle contraction,GO:0060402~calcium ion transport into cytosol,GO:0070296~sarcoplasmic reticulum calcium ion transport,GO:0071313~cellular response to caffeine,GO:0071872~cellular response to epinephrine stimulus,GO:0072599~establishment of protein localization to endoplasmic reticulum,GO:0086005~ventricular cardiac muscle cell action potential,GO:0086029~Purkinje myocyte to ventricular cardiac muscle cell signaling,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:0097050~type B pancreatic cell apoptotic process,GO:0098735~positive regulation of the force of heart contraction,GO:0098904~regulation of AV node cell action potential,GO:0098907~regulation of SA node cell action potential,GO:0098910~regulation of atrial cardiac muscle cell action potential,GO:0098911~regulation of ventricular cardiac muscle cell action potential,GO:1901896~positive regulation of calcium-transporting ATPase activity,	GO:0005790~smooth endoplasmic reticulum,GO:0005886~plasma membrane,GO:0014701~junctional sarcoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016529~sarcoplasmic reticulum,GO:0030018~Z disc,GO:0030659~cytoplasmic vesicle membrane,GO:0032991~macromolecular complex,GO:0033017~sarcoplasmic reticulum membrane,GO:0034704~calcium channel complex,GO:0042383~sarcolemma,	GO:0005219~ryanodine-sensitive calcium-release channel activity,GO:0005262~calcium channel activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0015278~calcium-release channel activity,GO:0019899~enzyme binding,GO:0034236~protein kinase A catalytic subunit binding,GO:0034237~protein kinase A regulatory subunit binding,GO:0042802~identical protein binding,GO:0043621~protein self-association,GO:0043924~suramin binding,GO:0044325~ion channel binding,GO:0048763~calcium-induced calcium release activity,	IPR000699:Intracellular calcium-release channel,IPR001870:B30.2/SPRY domain,IPR002048:EF-hand domain,IPR003032:Ryanodine receptor Ryr,IPR003877:SPla/RYanodine receptor SPRY,IPR005821:Ion transport domain,IPR009460:Ryanodine Receptor TM 4-6,IPR011992:EF-hand-like domain,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR013333:Ryanodine receptor,IPR013662:RyR/IP3R Homology associated domain,IPR014821:Inositol 1,4,5-trisphosphate/ryanodine receptor,IPR016093:MIR motif,	hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04371:Apelin signaling pathway,hsa04713:Circadian entrainment,hsa04911:Insulin secretion,hsa04921:Oxytocin signaling pathway,hsa04972:Pancreatic secretion,hsa05020:Prion disease,hsa05022:Pathways of neurodegeneration - multiple diseases,hsa05410:Hypertrophic cardiomyopathy,hsa05412:Arrhythmogenic right ventricular cardiomyopathy,hsa05414:Dilated cardiomyopathy,hsa05415:Diabetic cardiomyopathy,	115000~Ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome,600996~Arrhythmogenic right ventricular dysplasia 2,604772~Ventricular tachycardia, catecholaminergic polymorphic, 1,		SM00449:SPRY,SM00472:MIR,	KW-0109~Calcium transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0703~Sarcoplasmic reticulum,	KW-0122~Cardiomyopathy,KW-0225~Disease variant,	KW-0175~Coiled coil,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,	KW-0107~Calcium channel,KW-0112~Calmodulin-binding,KW-0217~Developmental protein,KW-0407~Ion channel,KW-0675~Receptor,KW-1071~Ligand-gated ion channel,KW-9996~Developmental protein,	KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,DOMAIN:B30.2/SPRY 1,DOMAIN:B30.2/SPRY 2,DOMAIN:B30.2/SPRY 3,DOMAIN:EF-hand,DOMAIN:MIR 1,DOMAIN:MIR 2,DOMAIN:MIR 3,DOMAIN:MIR 4,DOMAIN:MIR 5,INTRAMEM:Pore-forming,MUTAGEN:D->N: Decreased function in release of sequestered calcium ion into cytosol by sarcoplasmic reticulum. Changed ryanodine-sensitive calcium-release channel activity. Mutant channels are less resposive to activation by caffeine and store calcium overload. Affects channel sensitivity to cytosolic and luminal calcium activation.,MUTAGEN:G->A: Changed ryanodine-sensitive calcium-release channel activity characterized by increased sensitivity to cytosolic calcium activation.,MUTAGEN:H->N: Changed ryanodine-sensitive calcium-release channel activity characterized by increased sensitivity to cytosolic calcium activation.,MUTAGEN:H->Q: Changed ryanodine-sensitive calcium-release channel activity characterized by increased sensitivity to cytosolic calcium activation.,MUTAGEN:I->M: Decreased function in release of sequestered calcium ion into cytosol by sarcoplasmic reticulum. Changed ryanodine-sensitive calcium-release channel activity. Mutant channels are less resposive to activation by caffeine and store calcium overload. Affects channel sensitivity to cytosolic and luminal calcium activation.,MUTAGEN:I->V: Decreased function in release of sequestered calcium ion into cytosol by sarcoplasmic reticulum. Changed ryanodine-sensitive calcium-release channel activity. Mutant channels are less resposive to activation by caffeine and store calcium overload. Affects channel sensitivity to cytosolic and luminal calcium activation.,MUTAGEN:M->I: Changed ryanodine-sensitive calcium-release channel activity characterized by increased sensitivity to cytosolic calcium activation.,MUTAGEN:Q->H: Decreased function in release of sequestered calcium ion into cytosol by sarcoplasmic reticulum. Changed ryanodine-sensitive calcium-release channel activity. Mutant channels are less resposive to activation by caffeine and store calcium overload. Affects channel sensitivity to cytosolic and luminal calcium activation.,MUTAGEN:S->A: Abolishes phosphorylation by PKA.,REGION:4 X approximate repeats,REGION:Disordered,REGION:Interaction with CALM,REPEAT:1,REPEAT:2,REPEAT:3,REPEAT:4,TOPO_DOM:Cytoplasmic,TRANSMEM:Helical,
